article_id,title,section,snippet
2910,Expert: India Leads World in HIV Cases,World,"NEW DELHI - India has the world's largest number of HIV-infected people, the head of a top international AIDS-fighting fund said Wednesday, dismissing official figures. ""I don't believe in the official statistics..."
2911,"Blair Sees More Iraq Violence, No Ruling on Troops",World,LONDON (Reuters) - Britain's Tony Blair forecast an upsurge in violence in Iraq ahead of planned January elections but said Wednesday he had not yet decided on a U.S. request for back-up from UK troops.
2912,Wi-Fi Adapters Turn Inward,Sci/Tech,"Those wireless LAN cards that insert into a laptop, Tablet PC or PDA have just gone on the endangered species list, according to a new report published this week."
2913,Indian allies haggle after poll,World,Haggling between election allies delays the formation of a new government in the Indian state of Maharashtra.
2914,Breakthrough Keyboard Technology for Smaller Handsets,Sci/Tech,SureType effectively converges a phone keypad and a QWERTY keyboard to fit elegantly within the size constraints of a traditional mobile phone form factor.
2915,Iraq Rebels Hit Back Amid Falluja Battles (Reuters),World,"Reuters - U.S. troops fought to crush\resistance in the Iraqi city of Falluja on Thursday, but rebels\hit back with an armed rampage in Mosul and a car bomb that\killed 17 people in a crowded Baghdad street."
2916,"McNair sits out practice again, Carter added to injury list",Sports,"Tennessee quarterback Steve McNair sat out another practice Friday with a bruised sternum, and didn #39;t even try to throw even though coach Jeff Fisher said the injury is healing."
2917,Skirmish delays A #39;s win,Sports,"Eric Chavez singled in the winning run, the fourth lead change in the final four innings of a crazy game. quot;It #39;s was almost like a kickoff of a football game, quot; Chavez said."
2918,South Africa in strong position Kanpur Test,Sports,KANPUR: Andrew Halls unbeaten knock of 78 helped South Africa make a fine start in their two-Test series against India at the Green Park Stadium here on Saturday.
2919,CalPERS chief tries for new seat on pension board,Business,"Bee Staff Writer. Sean Harrigan, ousted from the board of the California Public Employees #39; Retirement System, is lobbying for a return to the powerful pension fund, but his campaign does"
2920,NL Wrap: Padres Ease Past Giants Despite Bonds Homer (Reuters),Sports,"Reuters - Jay Payton's three-run homer led\the San Diego Padres to a 5-1 win over the San Francisco Giants\in National League play Saturday, despite a 701st career blast\from Barry Bonds."
2921,Microsoft CEO: Hackers Getting Smarter (AP),Sci/Tech,AP - Microsoft Corp.'s chief executive believes it's naive to suggest the software giant can eliminate all security vulnerabilities in its various products even though engineers are trying hard to do so.
2922,Pakistan Test Fires Ghaznavi Missile,World,"ISLAMABAD, Pakistan : Nov 30 (SADA) - Pakistan conducted a test of its nuclear- capable ballistic missile on Monday as part of efforts to boost its defenses, the state-run television reported."
2923,Kenteris was disrespectful to athletes,Sports,"Thursday night #39;s 200 metres final started with a disgraceful display by some of the Greek fans in the stadium in response to the absence of their local favourite and defending champion, Kostas Kenteris."
2924,Argentine Political Exile Wins Claim for Damages,World,"BUENOS AIRES, Argentina (Reuters) - Argentina's Supreme Court ruled for the first time on Thursday that someone who fled the country fearing political persecution during the 1970s ""dirty war"" should receive damages from the government."
2925,Busch Wins Nextel Cup,Sports,"Kurt Busch uses a late caution flag that produces four extra laps to hold on to a fifth-place finish at the Ford 400, wrapping up the Nextel Cup."
2926,REVIEW: Sunglasses Player Not a Bargain (AP),Sci/Tech,AP - It seems like a cool idea #151; sunglasses with a built-in digital music player and speakers. No headphone cables to untangle as with most portable players. Music actually riding on your ears.
2927,IBM Upgrades WebSphere Middleware Product,Sci/Tech,"IBM has issued an upgrade of its WebSphere middleware product, adding autonomic troubleshooting capabilities that autmatically detects system problems and recovers Web-based business transactions that would take days to fix manually."
2928,"NL Wrap: Maddux, Sosa Lead Cubs to Victory Over Expos",Sports,Greg Maddux tossed seven innings of shutout ball and helped his own cause with a pair of singles as the Chicago Cubs downed the Expos 5-2 in National League action in Montreal Monday.
2929,US plans new resolution on Darfur,World,The US says it is preparing a new UN resolution to deal with the crisis in the troubled Darfur region of Sudan.
2930,Blair faces vote amidst hostage crisis,World,The anguish of hostage Kenneth Bigley in Iraq hangs over Prime Minister Tony Blair today as he faces the twin test of a local election and a debate by his Labour Party about the divisive war.
2931,First step a go in shooting down missiles,Sci/Tech,A team in California led by Boeing Co. successfully completed the first laboratory trial of a system to destroy ballistic missiles just after they are launched.
2932,NHLPA proposal rejected,Sports,The NHL and the players' association appeared headed toward a lockout when talks broke off yesterday after the union's first new proposal in nearly a year.
2933,Summary: Greenspan Warns of Trade Deficit (AP),Business,AP - THE WARNING: Federal Reserve Chairman Alan Greenspan cautioned that swollen trade deficits eventually could threaten the economy by souring foreign appetites for investment in the United States.
2934,Commerce One Announces Layoffs,Sci/Tech,"Internet software developer Commerce One Inc. on Friday said it laid off about 61 percent of its staff to conserve cash ahead of plans to close down its business, sending its stock plunging during morning trading."
2935,"One game, two sorts of must-win situations",Sports,"No one will pitch Game 6 of the National League Championship Series while wearing a special knee-high boot, an industrial-strength ankle brace or a hard-to-scrub Thanksgiving turkey gravy stain."
2936,Shakedown street,Business,"Whether you live in Brookline or Scituate or Framingham, it is a good day when the town finally gets around to doing something about your beaten-up street. The potholes get filled, and the street gets repaved. New sidewalks and lighting go in."
2937,Iran poised for Linux invasion,Sci/Tech,"Tehran - Iran has become the latest country to edge towards ditching the ubiquitous Microsoft computer operating system in favour of the open-source Linux solution, even if its refusal to abide by copyright laws means that the Islamic republic does not"
2938,"Dollar Slips on Greenspan, Japan Data",Business,TOKYO (Reuters) - The dollar softened on Thursday after Federal Reserve Chairman Alan Greenspan sounded more cautious on the U.S. economic recovery than many investors had expected.
2939,Victory in Japan reignites Tiger #39;s fire,Sports,"Boosted by a first strokeplay title in more than a year, Tiger Woods is champing at the bit to mount a fresh major challenge in 2005."
2940,Trojans begin spam assault on cellphones,Sci/Tech,KUALA LUMPUR: British security software specialist Sophos Plc said it has identified a new trojan which attempts to send spam messages to mobile phone users.
2941,Wariner claims superb gold,Sports,Rookie Jeremy Wariner proved a worthy successor to Michael Johnson when blazing to the Olympic 400 metres gold medal on Monday night in Athens.
2942,Pfizer leaves the arthritis drug on the market despite problems &lt;b&gt;...&lt;/b&gt;,Business,"The nation #39;s top arthritis painkiller, Celebrex, raises the risk of major heart problems when taken at high doses, the drug #39;s maker said Friday."
2943,Meyer Begins New Era in Florida Football (AP),Sports,"AP - Urban Meyer's eyes widened as he looked around Ben Hill Griffin Stadium. He saw references to the school's six Southeastern Conference titles, two Heisman Trophy winners and the 1996 national championship. It wasn't his first trip to The Swamp, but it sure felt different."
2944,Rocket Launches with U.S. Security Satellite (Reuters),Sci/Tech,"Reuters - The last Atlas 2 rocket was\launched on Tuesday, putting a national security satellite into\orbit after four days of delays caused mostly by stormy\weather."
2945,Glaxo to Begin Posting Drug Trial Results,Business,GlaxoSmithKline is expected to start the process of publicly posting the results of clinical trials for its marketed drugs.
2946,China to punish embassy intruders,World,"China would punish intruders at embassies and schools according to the law, Foreign Ministry spokeswoman Zhang Qiyue said Tuesday."
2947,US leading economic indicators decline for fourth straight month,Business,"NEW YORK, October 21 (newratings.com) - The US leading economic indicators declined for the fourth consecutive month in September this year indicating sluggish economic growth going into 2005."
2948,German economic recovery slows down,Business,"LONDON, November 11 (newratings.com) - Germany witnessed a slowdown in its economic growth momentum during the third quarter this year, with the nation #39;s GDP growth rate declining to 0.1 from the relatively robust growth rate of 0.4 in the first two"
2949,EU Approves GMO Seed for Planting Across Bloc (Reuters),Sci/Tech,"Reuters - The European Union approved on\Wednesday the first biotech seeds for planting and sale across\EU territory, flying in the face of widespread consumer\resistance to genetically modified (GMO) crops and foods."
2950,GDP in Q3 grows 6.3,Business,"DESPITE the budget deficit, continued increases in oil and consumer prices, the economy, as measured by gross domestic product, grew by 6.3 percent in the third"
2951,Inter crush Anderlecht 3-1 to lead group by three points,Sports,Inter Milan beat Anderlecht 3-1 away to open a three-point lead in Champions League Group G on Wednesday. Obafemi Martins put Inter ahead in the ninth minute when he turned in a low left cross from fellow striker Adriano.
2952,"Burma said to be freeing 4,000 political prisoners",World,"RANGOON, BURMA - Burma #39;s military government has reportedly released a number of political prisoners as part of a wide-ranging amnesty for thousands of prisoners it said were improperly detained."
2953,Spyware Bills Win House Approval,Sci/Tech,"Two bills designed to curb the proliferation of Internet ""spyware"" took another step toward law this week, but they are racing against the clock as Congress prepares to disperse for the November elections. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
2954,Arafat laid to rest in Ramallah,World,"HAMISH ROBERTSON: First this morning to the sound of gunfire and the roar of more than 100,000 Palestinian mourners. Yasser Arafat has been laid to rest in the grounds of his headquarters in Ramallah."
2955,RIM signs BT to sell Blackberry,Sci/Tech,"BT is to offer Research in Motion #39;s Blackberry mobile email and personal information management system, the UK telco said today."
2956,Mozilla Firefox - setting the world on fire,Sci/Tech,"After a year in development, today is the day the Mozilla Foundation released their long awaited browser named Firefox officially launching version 1.0."
2957,"At Least 27 Dead, 36 Injured in India Train Crash",World,"Two passenger trains collided head-on in northern India Tuesday, killing at least 27 people and injuring 36, officials said, blaming the accident on communications problems between stations."
2958,US gets new cyber security chief,Sci/Tech,"The US has a new head of cyber security, a week after his predecessor suddenly resigned."
2959,NASA #39;s  #39;Weightless Wonder #39; makes final flight,Sci/Tech,HOUSTON The NASA four-engine turbojet notoriously known as the quot;vomit comet quot; for its use in training astronauts for weightlessness made its final flight today.
2960,Western Afghan city quiet after bloody clashes,World,"HERAT, Afghanistan: The western Afghan city of Herat has returned to calm following bloody riots over the sacking of the local governor which left at least four people dead and 50 injured."
2961,Dow gets Merck #39;d,Business,NEW YORK (CNN/Money) - Merck #39;s withdrawal of its arthritis treatment sent the stock tumbling more than 25 percent and pushed the Dow into deeply negative territory at the open Thursday.
2962,"On Fed Payroll, Hackers Seek to Save America",Sci/Tech,"IDAHO FALLS, Idaho (Reuters) - Jason Larsen types in a few lines of computer code to hack into the controls of a nearby chemical plant. Then he finds an online video camera inside and confirms that he has pumped up a pressure value."
2963,"Holiday Pals Berlusconi, Blair Cement Ties (AP)",World,"AP - With a bandanna on his head and a grin on his cheeks, Italy's flamboyant Premier Silvio Berlusconi has been playing vacation host to Britain's Tony Blair in Sardinia, an unlikely holiday coupling that highlights an Italian-British alliance bolstered by the Iraq war."
2964,Beijing scrambles to reel in costs,Sports,Beijing -- Talk in China has shifted from holding a #39;green #39; or #39;people #39;s #39; Olympics to a #39;frugal Games #39; as Beijing tightens its purse strings while undertaking massive preparations to play host to the 2008 event.
2965,"TSA Deal Overpaid Boeing, Report Says",Business,"Boeing Co. received at least \$49 million in excessive profits on a \$1.2 billion contract to supply explosives-detection systems to hundreds of the nation's airports, the Department of Homeland Security's inspector general reported Monday."
2966,Sirius Satellite: Making Waves,Business,"When shock jock Howard Stern swooped into Sirius Satellite Radio, he was greeted like a conquering hero. Last month, a week after he announced on his popular morning radio show"
2967,Bid to avert new S Africa strikes,World,Unions and government officials are meeting in South Africa on Friday in an attempt to thrash out a pay deal to avert a new wave of strikes next week.
2968,Hawks Bring Back Kevin Willis,Sports,"ATLANTA (Sports Network) - The Atlanta Hawks signed free agent Kevin Willis on Wednesday, nearly a decade after the veteran big man ended an 11- year stint with the team."
2969,Federer Beats Agassi to Reach Open Semifinals,Sports,"Roger Federer posted a huge win in the howling wind, beating two-time champion Andre Agassi 6-3, 2-6, 7-5, 3-6, 6-3."
2970,Text Message Leads Police to Killers (AP),World,"AP - A Belgian teenager fired off a mobile phone text message to her father that his live-in girlfriend was trying to kill her in a plea for help just before she died, authorities said."
2971,Far Eastern Economic Review converts to monthly,Business,"HONG KONG - The Far Eastern Economic Review, a leading newsweekly in the region, will be published as a monthly after its Nov 4 issue following after six years of losses, its publisher Dow Jones said Thursday."
2972,Earnings alert: BEA revenue rises amid turmoil,Sci/Tech,"Plus: Dell meets expectations...Storage, servers bruise HP earnings...Healthy sales lift Cisco's profit."
2973,"Angels, Guillen Reach Financial Settlement (AP)",Sports,AP - Outfielder Jose Guillen and the Anaheim Angels have reached a financial settlement to resolve the grievance filed after the team recently suspended him without pay for the rest of the season.
2974,Suicide theory over crash,World,"Police today told of their shock at the quot;utter devastation quot; of the Berkshire rail crash. The car driver, who was among the dead, had parked across the track at the crossing in an apparent suicide."
2975,Analysts concerned about longer-than-expected G5 delays,Sci/Tech,Analysts from Prudential Equity Group and UBS are warning that delayed shipments of G5 chips from IBM could affect Apple Computer's bottom line
2976,The A.C.C. Runs Deep and Strong This Season,Sports,"With the addition of the powerhouses Miami and Virginia Tech this year, there is little doubt that football has become the new money sport that drives the Atlantic Coast Conference. But the sport of champions in the A.C.C., for now, remains men's basketball."
2977,Frei gives Rennes win over Marseille,Sports,Alexander Frei #39;s header just before the hour mark gave Stade Rennes a 1-0 win at home to Olympique Marseille after Steve Marlet had missed a first-half penalty for the visitors in Ligue 1 action on Wednesday.
2978,"Relatives plead for release of two Americans, Briton held hostage &lt;b&gt;...&lt;/b&gt;",World,"Relatives pleaded on Monday for the release of two Americans and a Briton as a deadline loomed for their beheading. In Baghdad, two"
2979,Aetna reportedly reaches deal in investor lawsuit,Business,"LONDON (CBS.MW) -- Aetna (AET) has reached a tentative accord with investors who accused the company of hiding accounting misstatements when SEC Chairman William Donaldson led the company, an Aetna spokesman was quoted as saying in Thursday #39;s Los Angeles"
2980,Tottenham put faith in Dutch coach Jol,Sports,MARTIN Jol was named as Tottenham Hotspurs new head coach yesterday and immediately pledged to follow in the footsteps of Bill Nicholson and guide the club back to the halcyon days of the 1960s.
2981,Bill Gates in Paris to Seal UNESCO Deal (AP),Sci/Tech,"AP - Microsoft Corp. chairman Bill Gates signed a cooperation agreement with UNESCO on Wednesday to improve access to computers, the Internet and information technology training in developing countries."
2982,"UPDATE 2-Genuine Parts profit rises, shares up",Business,"Genuine Parts Co. (GPC.N: Quote, Profile, Research) , a distributor of auto replacement and industrial parts, on Friday said third-quarter earnings rose sharply, pushing its stock up 9 percent."
2983,Not that kind of chick,Business,"Hamburg Township, Mich. - Gary Baja is surprised by some of the people who have checked out his new restaurant, CR Smokin #39; Chicks."
2984,NetContinuum Debuts Web-Services And Web-App Firewall,Sci/Tech,"NetContinuum, a leading provider of application firewalls, today announced that it is integrating the leading Web-services firewall, Forum Systems #39; XWall, into its flagship Application Security Gateway product."
2985,Jasc acquisitionm - Corel #39;s come-back sign,Business,"Corel has acquired Jasc Software, developer of the Windows-only Paint Shop family of products. Discussing the move, Corel calls the acquisition: quot;A crucial part of its ongoing growth strategy."
2986,Ancient bird fossil found,Sci/Tech,"Washington - The fossil of what may be one of the earliest baby birds has been found in northeast China. The fossil, estimated at 121 million years old, is curled up as though still in its shell."
2987,"Burma Says It Will Free Over 5,000 More Prisoners",World,"RANGOON, Burma, Nov. 25 -- Burma announced Thursday that it would release more than 5,000 prisoners, and a senior official said a top dissident who was democracy leader Aung San Suu Kyi's closest aide would also be freed before long."
2988,UKIP #39;s attacks embarrass newly elected Barroso Commission,World,"Approved by two thirds of the MEPs, the Barroso II Commission is due to take office on 22 November. Eurosceptic MEP Nigel Farage took the shine off the subsequent celebrations by attacking French Transport"
2989,"Spain to ramp up security with 35,000 police for Madrid Games bid",Sports,"MADRID (AFP) - Spain will draft some 35,000 police to beef up security, according to a dossier handed to the International Olympic Committee who were mulling the specifics of Madrid #39;s 2012 Olympic bid."
2990,New DVD Has Dual-Layered Surface (AP),Sci/Tech,"AP - Two Japanese companies said Tuesday they have developed a DVD that can play on both existing machines and the upcoming high-definition players, raising hopes for a smooth transition as more people dump old TV sets for better screens."
2991,Ferrari on Top in Practice for Brazil GP,World,"Rubens Barrichello set the pace Friday in his native city, just ahead of Ferrari teammate Michael Schumacher, as the two took the top times in practice for the Brazilian Grand Prix."
2992,"Bangla Opp march attacked, 25 hurt",World,"DHAKA, Aug. 23. - At least 25 people, including two TV cameramen, were injured when unidentified men attacked a Awami League protest march here today."
2993,Cruise in Britian for 'Collateral' (AP),Sci/Tech,"AP - Tom Cruise mingled with about 3,000 fans at the British premiere of ""Collateral,"" chatting on their cell phones, posing for photos and signing autographs for more than two hours outside a theater in Leicester Square."
2994,Moses Survives As Texans Kick Returner (AP),Sports,"AP - Diminutive J.J. Moses, the NFL's shortest player last season, fended off spirited summer competition for his job to remain the Houston Texans' kick returner."
2995,"A Great Phone, Tied Down",Sci/Tech,"NEW YORK - When it comes to selecting a wireless phone for myself to use, I have in the past been a bit of a neo-Luddite. Sure, as part of this job I get to play with all the very latest and greatest that"
2996,SUPER SINGLETARY HOLDS EUROPEANS AT BAY,Sports,Antonius Pius #39;s waywardness and a troubled passage for Six Perfections cost the European team dear as Singletary hung on grimly to land a dramatic NetJets Breeders #39; Cup Mile at Lone Star Park today.
2997,AP Poll: Voters Most Want Stable Iraq (AP),World,"AP - As President Bush mulls what to do after winning re-election, voters say his first priority should be resolving the situation in Iraq, where the fighting is growing more intense."
2998,US presses Syria to stabilize porous border with Iraq,World,"DAMASCUS, Syria-- The dire security conditions in Iraq have overshadowed many of the Bush administration's diplomatic priorities in Syria, prompting US officials to focus their efforts here on enlisting the government's help in stabilizing the country's eastern border with Iraq."
2999,"Former Executive Testifies, Offering Insider's Look at Enron's Deal Making",Business,"Michael Kopper, who participated in the wrongdoing that helped cripple Enron, provided a glimpse of the deals orchestrated by Andrew S. Fastow."
3000,Iraq Can Be Good Engine of Growth in Region: IMF Chief,Business,"JEDDAH, 24 October 2004 - War-shattered Iraq, which will certainly benefit from a peaceful situation like any other country, has great potential for growth."
3001,"Dow Hits Intraday Low 9,803.74 for Year",Business,"NEW YORK (Reuters) - The Dow Jones industrial average fell to an intraday low for the year on Friday as oil prices surged to another record and Microsoft Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MSFT.O target=/stocks/quickinfo/fullquote""&gt;MSFT.O&lt;/A&gt; dragged on stocks after the software maker's revenue forecast lagged analysts' expectations."
3002,Pekerman hired as Argentina soccer coach,Sports,Jose Pekerman was hired Thursday as Argentina #39;s national soccer coach following the abrupt resignation of Marcelo Bielsa. Pekerman coached Argentina #39;s youth programs during the late 1990s and won several championships.
3003,Japan Plans to Launch Spy Satellites (AP),Sci/Tech,"AP - A Japanese government panel has approved plans to send two spy satellites into Earth's orbit beginning next year, a media report said Wednesday."
3004,Dutch cyclist #39;s fairytale comeback,Sports,"Vouliagmeni, Greece - Watch Leontien Zijlaard-Van Moorsel, think Hermann Maier. Awful crash, unlikely fightback, gold within days. Instant Olympic lore."
3005,Aggies won't be outgunned,Sports,"COLLEGE STATION, Texas -- Courtney Lewis scored on a 25-yard run on the first play of overtime and Melvin Bullitt swatted away Sonny Cumbie's fourth-down pass in the end zone, sending No. 22 Texas A amp;M to a thrilling 32-25 win over Texas Tech yesterday."
3006,International Creditors to Cancel Most Iraqi Debt,World,"The Paris Club of international creditors has agreed to cancel 80 percent of the debt Iraq owes member countries. Officials say the deal, brokered in Berlin, is worth about \$33 billion."
3007,"Oil Prices Slip, Winter Supplies Seen Up",Business,NEW YORK (Reuters) - Oil prices fell on Tuesday as an expected increase in U.S. heating fuel supplies eased concerns over an inventory crunch should this winter's weather prove colder than normal.
3008,"Oil, Gas Prices Help Chevron Earnings (Reuters)",Business,"Reuters - ChevronTexaco Corp., the No. 2\U.S. oil company, on Friday reported a rise in quarterly\profit, pumped up by record oil and gas prices and gains on\asset sales."
3009,Epson announces R-D1 availability,Sci/Tech,"Epson has announced that the world #39;s first digital rangefinder camera, the R-D1 is to begin shipping in the US on November 1 and is expected to cost around \$2,999."
3010,"Commentary: Hurricanes, Clinton and the campaign",Business,"HEMPSTEAD, NY (CBS.MW) -- With Election Day now less than two months away, the campaign for the presidency has been rocked by several unexpected developments."
3011,"Cracking start to quest, but no sign of Holy Grail",Sci/Tech,TWO veteran code-breakers from Yorkshire have received a worldwide response to their request for solutions to an enigmatic message on a monument in Staffordshire reputed to say where the Holy Grail is hidden.
3012,Chelsea keeps advantage,Sports,"Chelsea maintained its five-point lead Arsenal with a big win against Newcastle, while the Gunners sank Birmingham in the English Premier League."
3013,Split Could Cost Iraqi Shiites Politically (AP),World,"AP - As Iraq's Sunni Muslims ponder boycotting the Jan. 30 election and some press for a delay, the majority Shiite Muslims face another threat to their expected victory: a split in Shiite ranks that could cost them the chance to dominate the next parliament."
3014,US Consulate Bombing Suspect Arrested in Pakistan,World,"Pakistani authorities have arrested the alleged mastermind of a deadly bombing near the US Consulate in Karachi two years ago, but another key member of his network is still on the run, a senior official said today."
3015,Calif. Assembly Backs E-Mail Monitoring Disclosure (Reuters),Sci/Tech,Reuters - California's Assembly on Tuesday\voted to require the state's employers to inform their workers\in writing if e-mail and other Internet activity is monitored\at work.
3016,Yanks came oh-so-close to Series,Sports,"At 12:01 am ET, the Boston (Bleepin #39;) Red Sox erupted in celebration in full view of Yankee Stadium #39;s stone-cold and stone-silent grandstands."
3017,"Halo 2, San Andreas key drivers of Nov. revenue, say NPD stats",Business,"Absent sales from the killer titles published by Microsoft and Rockstar, November sales would have dropped more than 20 percent. With the two, revenues rose 11 percent."
3018,Business leaders forecast tax rises,Business,"A Government of any party will be forced to cut spending or raise taxes by 7 billion a year after the election if it is to meet Chancellor Gordon Brown #39;s economic rules, business leaders have warned."
3019,Mmo2 to launch i-mode in UK,Sci/Tech,"MOBILE group mmO2 and giant Japanese telcom NTT DoCoMo today signed a deal allowing mmO2 to launch the i-mode internet service in Britain, Germany and Ireland."
3020,Judge Revokes Mine Permit in Florida,Sci/Tech,"FORT MYERS, Fla. - A federal judge Friday revoked a permit to develop a limestone mine amid 6,000 acres of habitat that could be used by the endangered Florida panther."
3021,Delta Air Lines Posts a Larger Loss,Business,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) on Wednesday reported a wider quarterly loss on soaring fuel prices and weak domestic airfares, and said"
3022,"Merck Profit Falls, Hurt by Vioxx Recall",Business,"NEW YORK (Reuters) - Merck Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MRK.N target=/stocks/quickinfo/fullquote""&gt;MRK.N&lt;/A&gt; on Thursday said its quarterly profit fell 28 percent due to last month's recall of its Vioxx arthritis drug, and the company predicted 2004 earnings will fall as much as 11 percent because of the recall."
3023,"It's Final: No WiFi In ""Grantsdale"" Chipset (Ziff Davis)",Sci/Tech,"Ziff Davis - Intel Corp. has decided not to enable the wireless access-point functionality in its Intel 915/925X ""Grantsdale"" chipset, a company spokesman confirmed Friday afternoon."
3024,"Bush, Cheney Spar With Mock Debate Foes (AP)",World,"AP - President Bush and Vice President Dick Cheney have been sparring with mock-debate partners since midsummer, getting ready for Democrats John Kerry and John Edwards."
3025,Rivalry Lives Up to Hype,Sports,"While not quite a return to glory, Monday represents the Redskins' return to the national consciousness."
3026,Davenport wins Porsche GP after injured Mauresmo quits,Sports,Lindsay Davenport won the Porsche Grand Prix on Sunday when top-ranked Amelie Mauresmo quit after losing the first set because of an injured left thigh.
3027,Adobe adds new Elements,Sci/Tech,"ADOBE Systems, maker of the world-renowned Photoshop picture-editing software, has announced two new products for digital video and still-photography hobbyists."
3028,Stocks Higher on Drop in Jobless Claims,World,"NEW YORK - A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks slightly higher in early trading Thursday. Investors welcomed the latest Labor Department report, which showed 319,000 new claims for the past week, down 44,000 from a week ago..."
3029,"Home runs, errors and Cubs, oh my",Sports,"The Cubs third baseman homered, doubled and homered in his first three at-bats against Reds starting pitcher Josh Hancock at Great American Ball Park."
3030,Dollar dodging at the Fed,Business,"Sure the currency is tumbling, but don #39;t expect the FOMC to do much out of the ordinary today. NEW YORK (CNN/Money) - It #39;s pretty clear that another interest rate hike by the Federal Reserve today will not be much of a headline maker."
3031,House passes bill imposing prison time over  #39;spyware #39;,Sci/Tech,"The House on Thursday passed the second bill in three days that would outlaw quot;spyware, quot; irritating software that quietly monitors the activities of Internet users."
3032,NASA: Mondays The Best Time To See Geminid Meteor Shower,Sci/Tech,Stargazers can catch a spectacular sight if they turn their eyes to the sky tonight. NASA officials say the Geminids will provide the best meteor shower of the year.
3033,Microsoft Retaliates By Poaching Novell #39;s Customers,Sci/Tech,"After Novell slapped a lawsuit on Microsoft, blaming it for the death of its office productivity suite WordPerfect, the Redmond giant seems furious."
3034,Internet tax moratorium clears Congress,Sci/Tech,"WASHINGTON - The U.S. House of Representatives on Friday approved a compromise version of a moratorium on Internet-only taxes, the last step needed before the bill is sent to President George Bush."
3035,Iraqi PM says trials of Saddam #39;s top lieutenants to begin next &lt;b&gt;...&lt;/b&gt;,World,"The trials of top figures in Saddam Hussein #39;s ousted administration will begin next week, interim Prime Minister Ayad Allawi said Tuesday, but Saddam will not be among them."
3036,"At CNN/US, Another Quick Change of Suits",Business,"CNN #39;s US operation has a new boss for the second time in just 14 months. This time it #39;s Jonathan Klein -- former CBS News suit and, more recently, founder and CEO of high-speed Internet news network and video streamer FeedRoom."
3037,Suicide bomber kills 3 in Tel Aviv,World,"A Palestinian suicide bomber has hit a bustling open-air market in Tel Aviv, killing three people in a show of force by militants three days after Yasser Arafat was airlifted to France for urgent medical treatment."
3038,Gene clue to malaria drug failure,World,"A gene could explain how parasites which cause malaria escape the action of some antimalaria drugs, say researchers."
3039,AP: India Exploring Free Trade Deals,Business,"India wants to explore possible free trade agreements with Japan, China and the United States, as negotiations on such deals with Southeast Asian countries progress, the commerce minister says."
3040,"Built for America, Sold (Cheaply) to the World",Business,"Billions of dollars worth of global telecommunications networks bought or built by United States investors now belong to Chinese, Indian and other non-American companies that have snapped them up for a fraction of their cost."
3041,Byrd ties Sluman for Chrysler lead,Sports,Jonathan Byrd shot his second successive five-under-par 66 on Friday and joined Jeff Sluman on top of the leader board after two rounds at the Chrysler Championship.
3042,Euro zone confidence likely to slide,Business,"Euro zone economic indicators for release this week would show that business and consumer confidence was falling and that inflation was on the rise again, economists said."
3043,WTO rules against US gambling ban,Business,The World Trade Organisation confirms a ruling that says the US cannot ban internet gambling.
3044,Top supercomputer race continues with NASA/SGI box,Sci/Tech,"MOFFETT FIELD, CALIFORNIA - The space race may be over, but engineers at NASA's (the National Aeronautics and Space Administration's) Ames Research Center Tuesday staked their claim in another type of challenge: the never-ending contest to build the world's fastest supercomputer. At a ribbon-cutting ceremony at the NASA supercomputing facility in Moffett Field, California, the U.S. space agency unveiled its 10,240-processor Linux-based supercomputer, named Columbia, and cited benchmark numbers that show it performing faster than any other system."
3045,Moyes signs new Everton Football Club deal,Sports,"The Scot is regarded as one of the finest young coaches in the country, and he has handed the Toffees a huge boost by agreeing a deal that will keep him at Goodison until the summer of 2008."
3046,Error Puts Kennedy on Airline No-Fly List (AP),World,"AP - The Senate Judiciary Committee heard this morning from one of its own about some of the problems with airline ""no fly"" watch lists. Sen. Edward Kennedy, D-Mass., says he had a close encounter with the lists when trying to take the U.S."
3047,Feds Issue Test Copies of E-voting Software,Sci/Tech,"NOVEMBER 01, 2004 (COMPUTERWORLD) - Federal officials last week released a set of software files submitted by five vendors of e-voting systems and voting verification tools, saying that election officials can use the code and related digital signatures to"
3048,Perth join Super 14,Sports,THE Australian Rugby Union (ARU) has announced that Perth have been chosen as the fourth Australian team for the expanded Super 14 rugby competition in the 2006 season.
3049,Asian Scientists to Launch Genetic Study (AP),Sci/Tech,AP - Scientists from across Asia will launch a genetic study of the region's people in an attempt to learn why some ethnic groups are more prone to certain diseases.
3050,"Finally, a Car That Talks Back",Sci/Tech,"Those too proud to ask another person for directions have a new option. This fall, Honda will release two cars that let drivers ask directions and receive a spoken response from their vehicle. By John Gartner."
3051,Court pointed to P2P firms,Sci/Tech,The US Supreme Court has been asked to hold two internet file-sharing services responsible for their customers #39; online swapping of copyrighted songs and movies.
